,Actual,Predicted
0,262788258,253274531.82331073
1,330965655,231828342.47062224
2,346397073,211888577.2752245
3,238397307,195036197.45919254
4,254791824,180523104.3993491
5,182152377,168072146.608307
6,249061824,157382097.64706638
7,291894684,148205343.05241206
8,217640280,140327411.9661196
9,230337489,133564519.4907054
10,259220457,127758836.15526298
11,328430400,122774881.37672664
12,238742385,118496348.58435364
13,285222528,114823393.37597612
14,289683183,111670303.13542312
15,201625377,108963496.89991237
16,149158683,106639808.2521836
17,151024212,104645011.26204374
18,144436698,102932555.06195232
19,152224362,101462477.52938907
20,214290075,100200472.72504297
21,134168358,99117090.32451369
22,147438777,98187048.36133371
23,129383127,97388643.24338728
24,121263348,96703243.27478425
25,86776968,96114853.86394314
26,116373399,95609744.27151702
27,103390995,95176127.1878986
28,144136182,94803883.66287935
29,107017062,94484326.9683818
30,98327637,94209999.88373227
31,108863529,93974500.67289385
32,94968867,93772333.69263971
33,97111383,93598781.14543764
34,119979573,93449792.98425297
35,101150940,93321892.40007229
36,84717483,93212094.68659167
37,68059518,93117837.58868393
38,76354227,93036921.50924705
39,67965924,92967458.17909186
40,127762917,92907826.5920225
41,87063354,92856635.17680436
42,103055145,92812689.32325885
43,96429171,92774963.50466967
44,85243569,92742577.3459448
45,65118042,92714775.0790577
46,104499075,92690907.90633649
47,90852672,92670418.86002897
48,52073166,92652829.80482352
49,59821500,92637730.28001513
50,59491053,92624767.92093581
51,80515905,92613640.23612233
52,183564843,92604087.54833218
53,234132072,92595886.93467845
54,187426038,92588847.0244694
55,98735766,92582803.53335468
56,150780912,92577615.4295623
57,160945482,92573161.64276099
58,146790486,92569338.2387457
59,112683234,92566055.99401413
60,189009156,92563238.31363434
61,121148496,92560819.44381446
62,143326959,92558742.9374628
63,127656009,92556960.33693053
64,88203942,92555430.04319695
65,167964909,92554116.34510888
66,191929665,92552988.58602007
67,213027585,92552020.44838332
68,201249459,92551189.33960041
69,139424922,92550475.86479808
70,156121947,92549863.37422642
71,135670677,92549337.57471792
72,126287439,92548886.19614017
73,168810432,92548498.70505819
74,666378582,92548166.0589247
75,174135792,92547880.49506205
76,155584932,92547635.34951115
77,99518916,92547424.90152036
78,68596704,92547244.24004534
79,96835683,92547089.14914408
80,68732433,92546956.00959317
81,128538063,92546841.71442902
82,148949784,92546743.59644336
83,145914567,92546659.36594082
84,96735495,92546587.05730642
85,134099895,92546524.9831355
86,154496844,92546471.69485636
87,225166584,92546425.94892609
88,178662438,92546386.67781113
89,138812160,92546352.96507514
90,99937488,92546324.02399288
91,93798981,92546299.17919113
92,116332788,92546277.85088804
93,76100940,92546259.5413633
94,76997649,92546243.8233432
95,61794399,92546230.3300298
96,60199491,92546218.7465412
97,123520191,92546208.80256346
98,69394809,92546200.26604249
99,82001865,92546192.93776882
100,79134144,92546186.6467288
101,104972262,92546181.24611384
102,76174155,92546176.6098944
103,73038639,92546172.62987901
104,55030530,92546169.21318945
105,47437983,92546166.28009339
106,55699911,92546163.76214366
107,60485157,92546161.60058102
108,45472953,92546159.74496296
109,108648270,92546158.1519865
110,64868259,92546156.78447771
111,71304939,92546155.6105242
112,59406972,92546154.60273045
113,78236694,92546153.73757842
